;1/1/00 0.00;2;3;4;5;6;7;8
;Data&Ora;Potenza Prodotta;Energia Prodotta;Prezzo Energia Prodotta;Reset;Allarme PV;Segnale PV;Assenza PV
;[dd/mm/yyyy hh:mm];[kW];[kWh];[euro/kWh];[*];[*];[dBm];[*]
;28/12/16 14.45;;;0,484;*;;;*
;28/12/16 20.00;;;0,484;*;;;*
;31/12/16 11.45;0;0,5;0,444;*;;-77;
;31/12/16 12.00;2,88;1,23;0,444;;;-86;
;31/12/16 12.15;2,92;1,96;0,444;*;;-90;
;31/12/16 12.30;2,63;2,61;0,444;*;;-87;
;31/12/16 12.45;2,85;3,33;0,444;;;-64;
;31/12/16 13.00;3;4,08;0,444;;;-44;
;31/12/16 13.15;2,85;4,79;0,444;;;-64;
;31/12/16 13.30;2,63;5,45;0,444;*;;-84;
;31/12/16 13.45;2,58;6,09;0,444;*;*;-81;
;31/12/16 14.00;;;0,444;*;;;*
;31/12/16 14.15;0;7,32;0,444;;;-80;
;31/12/16 14.30;2,31;7,9;0,444;;;-87;
;31/12/16 14.45;2,1;8,42;0,444;;;-87;
;31/12/16 15.00;1,66;8,83;0,444;;;-88;
;31/12/16 15.15;1,35;9,17;0,444;;;-87;
;31/12/16 15.30;1,02;9,43;0,444;;;-82;
;31/12/16 15.45;0,11;9,45;0,444;;;-81;
;31/12/16 16.00;0,05;9,47;0,444;;;-81;
;31/12/16 16.15;0,03;9,47;0,444;;;-74;
;31/12/16 16.30;0,02;9,48;0,444;;;-82;
;31/12/16 16.45;0;9,48;0,444;;;-81;
;31/12/16 17.00;0;9,48;0,444;;;-81;
;31/12/16 17.15;0;9,48;0,444;;;-81;
;31/12/16 17.30;0;9,48;0,444;;;-81;
;31/12/16 17.45;0;9,48;0,444;;;-81;
;31/12/16 18.00;0;9,48;0,444;;;-81;
;31/12/16 18.15;0;9,48;0,444;;;-82;
;31/12/16 18.30;0;9,48;0,444;;;-81;
;31/12/16 18.45;0;9,48;0,444;;;-81;
;31/12/16 19.00;0;9,48;0,444;;;-74;
;31/12/16 19.15;0;9,48;0,444;;;-73;
;31/12/16 19.30;0;9,48;0,444;;;-81;
;31/12/16 19.45;0;9,48;0,444;;;-81;
;31/12/16 20.00;0;9,48;0,444;;;-81;
;31/12/16 20.15;0;9,48;0,444;;;-81;
;31/12/16 20.30;0;9,48;0,444;;;-81;
;31/12/16 20.45;0;9,48;0,444;;;-81;
;31/12/16 21.00;0;9,48;0,444;;;-81;
;31/12/16 21.15;0;9,48;0,444;;;-81;
